"","sid","st","response"
"1","CK",3,0.155555555555556
"2","CK",6,0.705555555555556
"3","CK",12,0.944444444444444
"4","EH",3,0.144444444444444
"5","EH",6,0.327777777777778
"6","EH",12,0.572222222222222
"7","HH",3,0.294444444444444
"8","HH",6,0.483333333333333
"9","HH",12,0.988888888888889
"10","MP",3,0.205555555555556
"11","MP",6,0.638888888888889
"12","MP",12,0.961111111111111
"13","NW",3,0.211111111111111
"14","NW",6,0.861111111111111
"15","NW",12,0.988888888888889
"16","RR",3,0.0555555555555556
"17","RR",6,0.438888888888889
"18","RR",12,0.766666666666667
"19","SB",3,0
"20","SB",6,0.444444444444444
"21","SB",12,0.988888888888889
"22","TC",3,0.05
"23","TC",6,0.427777777777778
"24","TC",12,0.85
"25","TV",3,0.233333333333333
"26","TV",6,0.705555555555556
"27","TV",12,0.977777777777778
